행정구역,시 / 구 / 군,space-MBTI
서울특별시,종로구,ENTJ
서울특별시,중구,ESFJ
서울특별시,용산구,ESFJ
서울특별시,성동구,ESFP
서울특별시,광진구,INTP
서울특별시,동대문구,ISFJ
서울특별시,중랑구,INTJ
서울특별시,성북구,INTJ
서울특별시,강북구,INTJ
서울특별시,도봉구,INTJ
서울특별시,노원구,INTP
서울특별시,은평구,ENTP
서울특별시,서대문구,ESFJ
서울특별시,마포구,ESFP
서울특별시,양천구,INTJ
서울특별시,강서구,ESFJ
서울특별시,구로구,ESFP
서울특별시,금천구,ISFJ
서울특별시,영등포구,ESFJ
서울특별시,동작구,ISFJ
서울특별시,관악구,ISFP
서울특별시,서초구,ESFJ
서울특별시,강남구,ESFJ
서울특별시,송파구,ESFJ
서울특별시,강동구,INTJ
부산광역시,중구,ENTJ
부산광역시,서구,INTJ
부산광역시,동구,INTJ
부산광역시,영도구,INTP
부산광역시,부산진구,ESFJ
부산광역시,동래구,INTJ
부산광역시,남구,ESFP
부산광역시,북구,INTJ
부산광역시,해운대구,ESFJ
부산광역시,사하구,INTP
부산광역시,금정구,INTJ
부산광역시,강서구,ENTJ
부산광역시,연제구,ESFJ
부산광역시,수영구,ESFP
부산광역시,사상구,ISFJ
부산광역시,기장군,INTJ
대구광역시,중구,ESFJ
대구광역시,동구,INTJ
대구광역시,서구,INTP
대구광역시,남구,ISFP
대구광역시,북구,INTJ
대구광역시,수성구,ESFJ
대구광역시,달서구,ESFP
대구광역시,달성군,INTJ
인천광역시,강화군,INTJ
인천광역시,웅진군,INTJ
인천광역시,중구,ESFJ
인천광역시,동구,INTP
인천광역시,미추홀구,ESFP
인천광역시,연수구,ESFJ
인천광역시,남동구,ESFJ
인천광역시,부평구,ESFP
인천광역시,계양구,INTJ
인천광역시,서구,ESFJ
광주광역시,동구,INTJ
광주광역시,서구,ESFJ
광주광역시,남구,INTP
광주광역시,북구,INTJ
광주광역시,광산구,ESFJ
대전광역시,동구,INTJ
대전광역시,중구,ESFJ
대전광역시,서구,ESFJ
대전광역시,유성구,ESFJ
대전광역시,대덕구,INTJ
울산광역시,중구,ESFJ
울산광역시,남구,ESFP
울산광역시,동구,INTJ
울산광역시,북구,INTP
울산광역시,울주군,INTJ
세종특별자치시,세종특별자치시,ESFJ
경기도,수원시,ESFJ
경기도,고양시,ESFJ
경기도,용인시,ESFJ
경기도,성남시,ESFJ
경기도,부천시,ESFJ
경기도,화성시,INTJ
경기도,안산시,ESFP
경기도,남양주시,INTJ
경기도,안양시,ESFJ
경기도,평택시,ESFP
경기도,시흥시,ESFJ
경기도,파주시,INTJ
경기도,의정부시,ESFJ
경기도,김포시,INTJ
